Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-851.1356	-1631.015	779.8798	2.098342	0.4128024	0.2152589	0.9407363
6	-865.2804	-1644.771	779.4907	1.806367	0.496262	0.2710983	1.291538
12	-845.1884	-1624.454	779.2652	1.603058	0.3547517	0.2841212	1.782464
18	-858.2254	-1636.768	778.5426	1.615602	0.5044423	0.5039171	1.782464
24	-862.5664	-1642.056	779.4898	1.760007	0.4095745	0.3053065	1.386677
30	-856.8422	-1636.194	779.3519	1.698826	0.3965834	0.3053065	1.556409
36	-876.5439	-1656.678	780.1342	1.821225	0.2888165	0.2102675	1.220579
42	-867.1725	-1646.905	779.7329	1.821225	0.3657791	0.2783528	1.262832
48	-850.8552	-1630.682	779.8263	1.895112	0.3430915	0.2783528	1.16076
54	-846.5955	-1626.822	780.2265	1.806831	0.2676081	0.2224734	1.168229
60	-849.6007	-1629.788	780.1869	1.834176	0.2676081	0.2268907	1.168229
66	-829.6738	-1609.828	780.1546	1.870467	0.2676081	0.2268907	1.16466
72	-834.3926	-1614.118	779.7251	1.860985	0.3691884	0.2057901	1.387485
78	-831.6136	-1611.587	779.9737	1.947617	0.3500572	0.2392058	1.056495
84	-824.6282	-1604.674	780.0461	2.003237	0.2675029	0.1796758	1.263344
90	-808.6053	-1588.764	780.1586	1.755335	0.2675029	0.269915	1.163298
96	-810.2667	-1589.772	779.5055	1.758846	0.4099134	0.269915	1.440531
102	-817.5257	-1597.254	779.7279	1.924834	0.4099134	0.2791105	1.10028
108	-851.3706	-1631.107	779.7364	1.895526	0.4099134	0.2580558	1.166004
114	-850.7266	-1630.065	779.338	1.558174	0.2933356	0.1964937	2.016156
120	-832.2542	-1611.535	779.2811	1.512577	0.3332567	0.291504	1.853349
126	-837.276	-1616.466	779.1898	1.550538	0.4272458	0.291504	1.760309
132	-835.6802	-1614.463	778.783	1.605554	0.4914343	0.3248461	1.8726
138	-831.53	-1610.284	778.7542	1.592887	0.5455938	0.3248461	1.841234
144	-841.5826	-1620.512	778.9293	1.613746	0.4361386	0.2950611	1.879361
150	-858.1329	-1637.349	779.2157	1.600385	0.4913418	0.2950611	1.620681
156	-838.7727	-1618.39	779.6176	1.671309	0.3109458	0.2790029	1.559193
162	-829.8026	-1609.41	779.6078	1.698292	0.3109458	0.3156746	1.482325
168	-829.9691	-1608.961	778.9922	1.637396	0.3915784	0.2596533	1.93637
